Species,ALFV,BAGV,BANV,BOUV,BSQV,DENV1,DENV2,DENV3,DENV4,EHV,IGUV,ILHV,ITV,JEV,JUGV,KEDV,KOKV,KOUV,KUNV,MVEV,NJLV,NMV,NTAV,ROCV,SABV,SEPV,SLEV,SPOV,STRV,TMUV,UGSV,USUV,WESSV,WNV,YAOV,YFV,ZIKV
Aedeomyia africana,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aedeomyia catasticta,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aedes abnormalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Aedes aegypti,,,,,2,4,4,4,4,,,,4,,,,,,4,,,,2,,,,,,,,4,,4,,1,4,4
Aedes africanus,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,4,1
Aedes albopictus,,,,,,4,4,4,4,,,,,1,,,,,1,1,,,,,,,,,,,,,,4,,,4
Aedes argenteopunctatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Aedes bancroftianus,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aedes bromeliae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Aedes caballus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Aedes cantans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Aedes chemulpoensis,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Aedes cinereus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Aedes circumluteolus,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,,
Aedes cumminsii,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,
Aedes curtipes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Aedes dalzieli,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,4
Aedes domesticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Aedes dorsalis,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Aedes flavicollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Aedes fluviatilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Aedes fowleri,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4
Aedes furcifer,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
Aedes grahami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Aedes hensilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Aedes ingrami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Aedes jamoti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4
Aedes juppi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Aedes koreicus,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Aedes lineatopennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,
Aedes longipalpis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Aedes luteocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,4
Aedes mcintoshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Aedes melanimon,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Aedes mediolineatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Aedes metallicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,4
Aedes minutus,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,,,,4
Aedes natronius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Aedes neoafricanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Aedes normanensis,,,,,,,,,,1,,,,,,,,,1,4,,,,,,,,,,,,,,,,,
Aedes notoscriptus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Aedes occidentalis,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Aedes ochraceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Aedes opok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,4
Aedes polynesiensis,,,,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aedes procax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Aedes scapularis,,,,,,,,,,,,2,,,,,,,,,,,,1,,,1,,,,,,,,,4,
Aedes scutellaris,,,,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aedes serratus,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,4,
Aedes simulans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Aedes stokesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Aedes tarsalis,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,4
Aedes taeniarostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4
Aedes taylori,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
Aedes togoi,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Aedes vexans,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,1,,,
Aedes vigilax,,,,,,,,,,4,,,,,,,1,,1,4,,,,,,,,,1,,,,,,,,
Aedes vittatus,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,4,4
Anopheles amictus,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Anopheles barbirostris,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Anopheles coustani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4
Anopheles crucians,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Anopheles domicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Anopheles funestus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Anopheles gambiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4
Anopheles hyrcanus,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Anopheles maculipennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Anopheles meraukensis,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anopheles paludis,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anopheles pharoensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Anopheles philippinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Anopheles punctipennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Anopheles pretoriensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Anopheles quadrimaculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Anopheles subpictus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Anopheles tessalatus,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Armigeres obturbans,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Aedes alternans,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Coquillettidia aurites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
Coquillettidia linealis,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquillettidia perturbans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Coquillettidia metallica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Coquillettidia richiardii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Coquillettidia venezuelensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Culex adamesi,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
