"Spp","Dengue","Japanese encephalitis","Kyasanur Forest disease","St. Louis encephalitis","Tick-borne encephalitis","West Nile fever","Yellow fever","Zika"
"Allenopithecus_nigroviridis","0","0","0","0","0","0","0","0"
"Allocebus_trichotis","0","0","0","0","0","0","0","0"
"Alouatta_belzebul","0","0","0","0","0","0","0","0"
"Alouatta_caraya","0","0","0","1","0","0","1","0"
"Alouatta_coibensis","0","0","0","0","0","0","0","0"
"Alouatta_guariba","0","0","0","0","0","0","0","0"
"Alouatta_macconnelli","0","0","0","0","0","0","0","0"
"Alouatta_nigerrima","0","0","0","0","0","0","0","0"
"Alouatta_palliata","0","0","0","0","0","0","0","0"
"Alouatta_pigra","0","0","0","0","0","0","0","0"
"Alouatta_sara","0","0","0","0","0","0","0","0"
"Alouatta_seniculus","0","0","0","0","0","0","1","0"
"Aotus_azarae","0","0","0","0","0","0","0","0"
"Aotus_hershkovitzi","0","0","0","0","0","0","0","0"
"Aotus_lemurinus","0","0","0","0","0","0","0","0"
"Aotus_miconax","0","0","0","0","0","0","0","0"
"Aotus_nancymaae","0","0","0","0","0","0","0","0"
"Aotus_nigriceps","0","0","0","0","0","0","0","0"
"Aotus_trivirgatus","0","0","0","0","0","0","0","0"
"Aotus_vociferans","0","0","0","0","0","0","0","0"
"Arctocebus_aureus","0","0","0","0","0","0","0","0"
"Arctocebus_calabarensis","0","0","0","0","0","0","0","0"
"Ateles_belzebuth","0","0","0","0","0","0","0","0"
"Ateles_chamek","0","0","0","0","0","0","0","0"
"Ateles_fusciceps","0","0","0","0","0","0","0","0"
"Ateles_geoffroyi","0","0","0","0","0","0","0","0"
"Ateles_hybridus","0","0","0","0","0","0","0","0"
"Ateles_marginatus","0","0","0","0","0","0","0","0"
"Ateles_paniscus","0","0","0","0","0","0","0","0"
"Avahi_laniger","0","0","0","0","0","0","0","0"
"Avahi_occidentalis","0","0","0","0","0","0","0","0"
"Avahi_unicolor","0","0","0","0","0","0","0","0"
"Brachyteles_arachnoides","0","0","0","0","0","0","0","0"
"Brachyteles_hypoxanthus","0","0","0","0","0","0","0","0"
"Bunopithecus_hoolock","0","0","0","0","0","0","0","0"
"Cacajao_calvus","0","0","0","0","0","0","0","0"
"Cacajao_melanocephalus","0","0","0","0","0","0","0","0"
"Callicebus_baptista","0","0","0","0","0","0","0","0"
"Callicebus_barbarabrownae","0","0","0","0","0","0","0","0"
"Callicebus_bernhardi","0","0","0","0","0","0","0","0"
"Callicebus_brunneus","0","0","0","0","0","0","0","0"
"Callicebus_caligatus","0","0","0","0","0","0","0","0"
"Callicebus_cinerascens","0","0","0","0","0","0","0","0"
"Callicebus_coimbrai","0","0","0","0","0","0","0","0"
"Callicebus_cupreus","0","0","0","0","0","0","0","0"
"Callicebus_discolor","0","0","0","0","0","0","0","0"
"Callicebus_donacophilus","0","0","0","0","0","0","0","0"
"Callicebus_dubius","0","0","0","0","0","0","0","0"
"Callicebus_hoffmannsi","0","0","0","0","0","0","0","0"
"Callicebus_lucifer","0","0","0","0","0","0","0","0"
"Callicebus_lugens","0","0","0","0","0","0","0","0"
"Callicebus_medemi","0","0","0","0","0","0","0","0"
"Callicebus_melanochir","0","0","0","0","0","0","0","0"
"Callicebus_modestus","0","0","0","0","0","0","0","0"
"Callicebus_moloch","0","0","0","0","0","0","0","0"
"Callicebus_nigrifrons","0","0","0","0","0","0","0","0"
"Callicebus_oenanthe","0","0","0","0","0","0","0","0"
"Callicebus_olallae","0","0","0","0","0","0","0","0"
"Callicebus_ornatus","0","0","0","0","0","0","0","0"
"Callicebus_pallescens","0","0","0","0","0","0","0","0"
"Callicebus_personatus","0","0","0","0","0","0","0","0"
"Callicebus_purinus","0","0","0","0","0","0","0","0"
"Callicebus_regulus","0","0","0","0","0","0","0","0"
"Callicebus_stephennashi","0","0","0","0","0","0","0","0"
"Callicebus_torquatus","0","0","0","0","0","0","0","0"
"Callimico_goeldii","0","0","0","0","0","0","0","0"
"Callithrix_acariensis","0","0","0","0","0","0","0","0"
"Callithrix_argentata","0","0","0","0","0","0","0","0"
"Callithrix_aurita","0","0","0","0","0","0","0","0"
"Callithrix_chrysoleuca","0","0","0","0","0","0","0","0"
"Callithrix_emiliae","0","0","0","0","0","0","0","0"
"Callithrix_flaviceps","0","0","0","0","0","0","0","0"
"Callithrix_geoffroyi","0","0","0","0","0","0","0","0"
"Callithrix_humeralifera","0","0","0","0","0","0","0","0"
"Callithrix_humilis","0","0","0","0","0","0","0","0"
"Callithrix_intermedia","0","0","0","0","0","0","0","0"
"Callithrix_jacchus","0","0","0","0","0","0","0","0"
"Callithrix_kuhlii","0","0","0","0","0","0","0","0"
"Callithrix_leucippe","0","0","0","0","0","0","0","0"
"Callithrix_manicorensis","0","0","0","0","0","0","0","0"
"Callithrix_marcai","0","0","0","0","0","0","0","0"
"Callithrix_mauesi","0","0","0","0","0","0","0","0"
"Callithrix_melanura","0","0","0","0","0","0","0","0"
"Callithrix_nigriceps","0","0","0","0","0","0","0","0"
