mosquitoSpecies,subgenus,group,humanBiter,hostBreadth,primates,nonPrimateMammals,birds,coldBloodedVertebrates,geographicRange,africa,middleEast,australia,pacific,asia,europe,northAmerica,southAmerica,biteDawn,biteDay,biteDusk,biteNight,containerBreeder,larvalHabitat,permanentHabitat,urbanAreas,indoors
Aedeomyia africana,none,,1,3,1,1,1,,20,1,0,0,0,0,0,0,0,0,0,0,1,0,Pond,1,1,0
Aedeomyia catasticta,none,,1,1,,,1,,19,0,0,1,1,1,0,0,0,0,0,0,1,0,Pond,1,0,0
Aedes abnormalis,Aedimorphus,,,0,,,,,6,1,0,0,0,0,0,0,0,,,,,,,,0,0
Aedes aegypti,Stegomyia,aegypti,1,1,1,,,,154,1,1,1,1,1,1,1,1,1,1,1,1,1,Container,0,1,1
Aedes africanus,Stegomyia,africanus,1,0,,,,,24,1,0,0,0,0,0,0,0,0,0,1,0,1,Treehole,0,0,1
Aedes albopictus,Stegomyia,scutellaris,1,2,,1,1,,116,1,1,0,1,1,1,1,1,1,1,1,0,1,Non-Discriminate,0,1,1
Aedes argenteopunctatus,Catageiomyia,,0,0,,,,,17,1,0,0,0,0,0,0,0,,,,,0,Pond,1,0,0
Aedes bancroftianus,Pseudoskusea,,1,0,,,,,1,0,0,1,0,0,0,0,0,,,,,0,Ground Pool,0,0,0
Aedes bromeliae,Stegomyia,Simpsoni,1,1,1,,,,23,1,0,0,0,0,0,0,0,,,,,1,Treehole,0,0,0
Aedes caballus,Ochlerotatus,Juppius,1,1,,1,,,10,1,1,0,0,0,0,0,0,0,1,1,0,0,Swamp,0,0,0
Aedes cantans,Ochlerotatus,,1,1,,1,,,34,0,0,0,0,1,1,1,0,1,0,1,0,0,Ground Pool,0,0,0
Aedes chemulpoensis,Stegomyia,Pseudonigeria,,0,,,,,2,0,0,0,0,1,0,0,0,,,,,0,Treehole,0,0,0
Aedes cinereus,Aedes,,,2,,1,1,,34,0,0,0,0,0,1,1,0,0,0,1,0,0,Ground Pool,0,0,0
Aedes circumluteolus,Neomelaniconion,,1,2,,1,1,,27,1,0,0,0,0,0,0,0,,,,,0,Pond,1,0,0
Aedes cumminsii,Aedimorphus,,1,0,,,,,21,1,0,0,0,0,0,0,0,0,1,0,1,0,Ground Pool,0,0,0
Aedes curtipes,Cancraedes,,1,0,,,,,4,0,0,0,1,1,0,0,0,0,1,0,0,0,Rice Paddy,1,0,0
Aedes dalzieli,Aedimorphus,,1,2,,1,1,,10,1,0,0,0,0,0,0,0,,,1,,0,Ground Pool,0,0,0
Aedes domesticus,Aedimorphus,,1,0,,,,,15,1,0,0,0,0,0,0,0,0,1,0,1,0,Ground Pool,0,0,0
Aedes dorsalis,Ochlerotatus,,1,2,,1,1,,44,0,1,0,0,1,1,1,0,1,0,1,1,0,Marsh,1,0,0
Aedes flavicollis,Diceromyia,,,1,1,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Treehole,0,0,0
Aedes fluviatilis,Georgecraigius,Horsfallius,1,0,,,,,18,0,0,0,0,0,0,0,1,,1,,1,1,Treehole,0,1,0
Aedes fowleri,Aedimorphus,,,0,,,,,23,1,0,0,0,0,0,0,0,,,,,,,,0,0
Aedes furcifer,Diceromyia,,1,1,1,,,,15,1,0,0,0,0,0,0,0,,0,,1,0,Treehole,0,0,0
Aedes grahami,Mucidus,,,0,,,,,10,1,0,0,0,0,0,0,0,,,,,0,Swamp,1,0,0
Aedes hensilli,Stegomyia,Scuttellaris,1,0,,,,,3,0,0,0,1,0,0,0,0,0,1,0,0,1,Treehole,0,1,0
Aedes ingrami,Hopkinsius,,1,0,,,,,12,1,0,0,0,0,0,0,0,0,0,1,0,0,Treehole,0,0,0
Aedes jamoti,Neomelaniconion,,,0,,,,,8,1,0,0,0,0,0,0,0,,,,,0,Pond,1,0,0
Aedes juppi,Ochlerotatus,,1,1,,,1,,2,1,0,0,0,0,0,0,0,,1,1,,0,Ground Pool,0,0,0
Aedes koreicus,Hulecoeteomyia,,1,0,,,,,1,0,0,0,0,1,0,0,0,,,,,1,Treehole,0,0,0
Aedes lineatopennis,Neomelaniconion,,1,0,,,,,29,1,0,1,1,1,0,0,0,0,0,1,0,0,Ground Pool,0,0,0
Aedes longipalpis,Zavortinkius,,1,1,1,,,,12,1,0,0,0,0,0,0,0,0,1,0,0,1,Treehole,0,0,0
Aedes luteocephalus,Stegomyia,Africanus,1,3,1,1,1,,18,1,0,0,0,0,0,0,0,0,0,1,0,0,Treehole,0,0,0
Aedes mcintoshi,Neomelaniconion,,1,1,,1,,,15,1,0,1,0,0,0,0,0,,,,,0,Ground Pool,1,0,0
Aedes melanimon,Ochlerotatus,,0,1,,1,,,2,0,0,0,0,0,0,1,0,0,1,0,0,0,Pond,1,0,0
Aedes mediolineatus,Aedimorphus,,,0,,,,,7,0,0,0,0,1,0,0,0,,,,,0,Ground Pool,0,0,0
Aedes metallicus,Stegomyia,Metallicus,1,0,,,,,14,1,0,0,0,0,0,0,0,0,0,1,1,0,Treehole,0,0,0
Aedes minutus,Catageiomyia,,,0,,,,,22,1,0,0,0,0,0,0,0,,,,,0,Treehole,0,0,0
Aedes natronius,Aedimorphus,,,0,,,,,7,1,0,0,0,0,0,0,0,,,,,0,Ground Pool,0,0,0
Aedes neoafricanus,Stegomyia,Africanus,1,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Treehole,0,0,0
Aedes normanensis,Ochlerotatus,,1,0,,,,,3,0,0,1,0,0,0,0,0,0,1,0,0,0,Ground Pool,0,0,0
Aedes notoscriptus,Ochlerotatus,Rampamyia,1,1,,1,,,7,0,0,1,1,0,0,0,0,0,0,0,1,1,Treehole,0,1,0
Aedes occidentalis,Dobrotworskyius,,1,0,,,,,1,0,0,1,0,0,0,0,0,0,1,1,1,0,Rockhole,0,0,0
