"","Spp","flavLabel","ZLabel","Zdiv","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X8.1_AdultForearmLen_mm","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","paleotropical"
"1","Allenopithecus_nigroviridis",0,0,0,"Primates","Cercopithecidae","Allenopithecus","nigroviridis",3,4749.96,NA,459.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,NA,276,240.71,NA,NA,NA,NA,40,NA,NA,NA,106.15,NA,NA,NA,NA,NA,NA,609031.19,3.5,-3.85,-0.17,25.29,16.08,20.68,1,8.59,1,0.16,157.4,251.65,1517.75,1589.35,1
"2","Allocebus_trichotis",0,0,0,"Primates","Cheirogaleidae","Allocebus","trichotis",2,78.09,NA,133.99,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,1,NA,2,2,NA,NA,125,NA,NA,NA,57.15,42488.06,-13.99,-19.18,-16.59,50.48,48.22,49.35,8,30.01,11,0.17,190.23,203.17,1388.15,1653.74,1
"3","Alouatta_belzebul",0,1,1,"Primates","Atelidae","Alouatta","belzebul",3,6157.91,NA,550.38,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,7.4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1899561.77,0.08,-13.69,-6.8,-34.79,-60.64,-47.71,0,16.73,0,0.12,164.35,248.73,1286.55,1549.83,0
"4","Alouatta_caraya",1,1,1,"Primates","Atelidae","Alouatta","caraya",3,5576.96,NA,558.16,NA,1354.15,NA,NA,3,NA,185.92,NA,NA,NA,337.62,1.01,NA,243.6,260.6,NA,80,NA,1276.72,8.9,NA,NA,1,323.16,NA,NA,NA,1.14,NA,NA,1534736.35,-12.1,-28.59,-20.34,-44.44,-65.47,-54.96,0,12.01,1,0.11,116.64,229.01,1193.12,1404.85,0
"5","Alouatta_coibensis",0,0,0,"Primates","Atelidae","Alouatta","coibensis",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1159.16,7.94,7.31,7.63,-81.23,-81.89,-81.56,7,14.66,7,0.15,162,266,NA,NA,0
"6","Alouatta_guariba",0,1,1,"Primates","Atelidae","Alouatta","guariba",3,5188.33,NA,514.53,NA,NA,NA,NA,4,NA,NA,1,0.03,NA,NA,NA,NA,NA,NA,NA,89.09,NA,NA,7.4,NA,2,1,NA,NA,NA,NA,NA,NA,NA,825479.22,-12.66,-29.6,-21.13,-38.58,-54.7,-46.64,5,105.77,12,0.06,133.23,196.32,1225.7,1332.19,0
"7","Alouatta_macconnelli",0,0,0,"Primates","Atelidae","Alouatta","macconnelli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1679178.24,8.64,-3.5,2.57,-49.88,-67.51,-58.69,0,2.84,0,0.12,162.09,249.75,1501.28,1695.13,0
"8","Alouatta_nigerrima",0,0,0,"Primates","Atelidae","Alouatta","nigerrima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183994.3,-2.19,-9.07,-5.63,-55.22,-60.61,-57.92,0,1.44,0,0.09,170.18,256.74,1417.52,1594.65,0
"9","Alouatta_palliata",0,1,1,"Primates","Atelidae","Alouatta","palliata",3,6576.99,NA,576.35,NA,1382.13,2027.4,4670,2,NA,185.42,1,0.19,0.31,684.37,1.02,NA,300,318.29,NA,58.99,NA,1578.42,13.1,NA,2,1,495.6,1053.75,NA,NA,0.8,NA,NA,559554.92,18.71,-4.8,6.95,-76.77,-95.57,-86.17,2,62.18,4,0.13,185.26,237.38,1299.96,1633.87,0
"10","Alouatta_pigra",0,1,1,"Primates","Atelidae","Alouatta","pigra",3,7172.06,NA,566.94,NA,NA,NA,NA,2,NA,185.92,1,0.3,0.46,NA,1.01,NA,240,480,NA,8.53,NA,NA,5.5,NA,2,1,NA,NA,NA,NA,NA,NA,NA,91384.8,21.6,16,18.8,-86.73,-92.43,-89.58,3,16.53,3,0.24,134.13,250.78,1373.84,1580.84,0
