"","Spp","flavLabel","ZLabel","Zdiv","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","X1.1_ActivityCycle","X6.1_DietBreadth","X12.1_HabitatBreadth","X12.2_Terrestriality","X6.2_TrophicLevel","X16.2_LittersPerYear_EXT","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","paleotropical","logBodyMass_g","logHeadBodyLen_mm","logAgeatFirstBirth_d","logGestationLen_d","logGR_Area_km2","logHomeRange_km2","logHomeRange_Indiv_km2","logHuPopDen_Min_n.km2","logHuPopDen_Mean_n.km2","logHuPopDen_5p_n.km2","logInterbirthInterval_d","logLitterSize","logMaxLongevity_m","logNeonateBodyMass_g","logPopulationDensity_n.km2","logPopulationGrpSize","logSexualMaturityAge_d","logX10.2_SocialGrpSize","logWeaningAge_d","Temp_Mean_01degC4","logBodyMass_g_Resid"
"1","Allenopithecus_nigroviridis",0,0,0,"Primates","Cercopithecidae","Allenopithecus","nigroviridis","3","1","3","1","2",1.27271037088294,3.5,-3.85,-0.17,25.29,16.08,20.68,0.16,157.4,1517.75,1589.35,1,8.4658914759406,6.13120475011641,5.65577275818996,5.02797866537866,13.3196247604873,3.34073941262504,3.70843695332947,0.693147180559945,2.15059873599616,0.693147180559945,5.84631086331467,0.00995033085316809,5.62040086571715,5.48359288941835,1.56827331273225,4.07729985483513,6.89907051971509,3.68887945411394,4.66485318814926,40.1040043703701,0.447127548341111
"2","Allocebus_trichotis",0,0,0,"Primates","Cheirogaleidae","Allocebus","trichotis","2","4","1","2","2",1.37477402580357,-13.99,-19.18,-16.59,50.48,48.22,49.35,0.17,190.23,1388.15,1653.74,1,4.35786200767458,4.89776517030052,6.31386106784901,4.87346556793226,10.6569783742647,-6.21460809842219,-6.14694944994838,2.19722457733622,3.40153065945228,2.484906649788,5.19217400335098,0,4.83882365207444,1.90775904234306,6.23083571552684,0.693147180559945,5.94716591308807,0,4.42545301017366,17.0387732099079,-0.467887986400708
"3","Alouatta_belzebul",0,1,1,"Primates","Atelidae","Alouatta","belzebul","3","4","1","2","2",0.923175995848552,0.08,-13.69,-6.8,-34.79,-60.64,-47.71,0.12,164.35,1286.55,1549.83,0,8.72549271324286,6.31060894874962,7.40925955821574,5.34761744375569,14.4571337701651,-2.00932149733748,-2.08601730483173,0,2.81720351499873,0,6.12412788170704,-0.0100503358535015,6.02142052395356,5.57209510994676,2.83321334405622,1.84273028625293,7.97017228581338,2.00148000021012,5.47345520371699,38.2747779171845,0.320161075891165
"4","Alouatta_caraya",1,1,1,"Primates","Atelidae","Alouatta","caraya","3","3","1","2","1",1.14,-12.1,-28.59,-20.34,-44.44,-65.47,-54.96,0.11,116.64,1193.12,1404.85,0,8.62639910404897,6.32464565963098,7.21092923020184,5.22531647366355,14.2438691652935,-2.39475609448599,-1.53723560988422,0,2.48573963609189,0.693147180559945,5.82192100267324,0.00995033085316809,5.49552753583574,5.56298666469074,4.38202663467388,1.91638849383905,7.15204956809093,2.18605127673809,5.77814755661151,27.5053887202552,0.428516620251335
"5","Alouatta_coibensis",0,0,0,"Primates","Atelidae","Alouatta","coibensis","3","2","1","1","2",1.29178408901902,7.94,7.31,7.63,-81.23,-81.89,-81.56,0.15,162,1227.0597250497,1380.12713211889,0,6.42085596250603,5.73446915290537,7.12557812224806,5.37128353308146,7.05545088385486,-5.54527802473547,-4.20478159532918,2.07944154167984,2.68512269645851,2.07944154167984,5.94155678934868,0.403556006665647,5.50875533452329,3.85896851376159,3.21916096444966,1.9024537822783,6.27655879232498,1.64865862558738,5.81895930349961,50.06411536,-0.295697879620874
"6","Alouatta_guariba",0,1,1,"Primates","Atelidae","Alouatta","guariba","3","4","1","2","1",0.826323342138079,-12.66,-29.6,-21.13,-38.58,-54.7,-46.64,0.06,133.23,1225.7,1332.19,0,8.55416715174032,6.2432538626121,7.100004786338,5.1419126516597,13.6237193694028,-3.50655789731998,-3.19919290755331,1.79175946922805,4.66126692533996,2.56494935746154,6.29582478862673,-0.0100503358535015,5.43908028170532,4.96666825456632,4.48964709473255,1.91512749076883,7.56095057670299,2.00148000021012,5.67473615468678,14.85450490571,0.452792867505678
"7","Alouatta_macconnelli",0,0,0,"Primates","Atelidae","Alouatta","macconnelli","1","2","1","1","2",1.66358629514216,8.64,-3.5,2.57,-49.88,-67.51,-58.69,0.12,162.09,1501.28,1695.13,0,4.13262395877359,4.71951663361651,5.55740704463572,4.69237626695819,14.3338150888529,-0.572548523308606,-0.307987126111747,0,1.04380405217311,0,5.1174564583218,0.487852986040276,4.65456954061761,2.24001977633355,3.32355790393485,4.71849887129509,5.64608273785683,3.96972386216924,3.68887945411394,38.9064842187891,-0.588776879809497
"8","Alouatta_nigerrima",0,0,0,"Primates","Atelidae","Alouatta","nigerrima","3","3","1","2","1",1.23014857682348,-2.19,-9.07,-5.63,-55.22,-60.61,-57.92,0.09,170.18,1417.52,1594.65,0,7.54997203351212,5.98803133561717,6.69285338696193,5.31398530991371,12.1226600578504,-5.07276601363318,-5.07453464666535,0,0.364643113587909,0,5.80321054077001,0.263965292225047,4.78880982692813,4.2725893618952,3.74013163984647,0,6.71555723548426,0.745936643234812,5.4445044270314,43.4484359569084,0.430081953662414
"9","Alouatta_palliata",0,1,1,"Primates","Atelidae","Alouatta","palliata","3","2","1","2","1",0.8,18.71,-4.8,6.95,-76.77,-95.57,-86.17,0.13,185.26,1299.96,1633.87,0,8.79133247285014,6.35671511504702,7.23138106647382,5.22262352217884,13.2348969609874,-1.66073120682165,-1.17118298150295,1.09861228866811,4.13003340463061,1.6094379124341,6.5284987070421,0.0198026272961797,5.7037824746562,5.76296291689223,4.07736793801498,3.75262778947934,7.36417962568743,2.57261223020711,6.20576914975499,31.7523959842111,-0.0731048525103884
"10","Alouatta_pigra",0,1,1,"Primates","Atelidae","Alouatta","pigra","3","2","1","2","1",0.834980005448764,21.6,16,18.8,-86.73,-92.43,-89.58,0.24,134.13,1373.84,1580.84,0,8.87794820055729,6.34025347802259,6.61767368940027,5.22531647366355,11.4228344416432,-1.20397280432594,-0.776528789498996,1.38629436111989,2.80517691183293,1.38629436111989,6.77012175647563,0.00995033085316809,5.48063892334199,6.17378610390194,2.14358936150359,0.922802793267889,6.79822098989112,1.70474809223843,4.6549307122498,39.5522862492215,-0.0946378782034299
