"","Species","NewWorld","Detected","ZikaDetected","mean.score","median.score","sd.score","NA.nums"
"1","Allenopithecus_nigroviridis",FALSE,FALSE,FALSE,0.5,0.553,0.26,13
"2","Allocebus_trichotis",FALSE,FALSE,FALSE,0.132,0.136,0.103,11
"3","Alouatta_belzebul",TRUE,FALSE,FALSE,0.281,0.224,0.158,14
"4","Alouatta_caraya",TRUE,TRUE,FALSE,0.258,0.226,0.144,5
"5","Alouatta_coibensis",TRUE,FALSE,FALSE,0.131,0.088,0.123,21
"6","Alouatta_guariba",TRUE,FALSE,FALSE,0.316,0.25,0.165,11
"7","Alouatta_macconnelli",TRUE,FALSE,FALSE,0.349,0.209,0.308,21
"8","Alouatta_nigerrima",TRUE,FALSE,FALSE,0.141,0.101,0.092,21
"9","Alouatta_palliata",TRUE,FALSE,FALSE,0.399,0.334,0.234,1
"10","Alouatta_pigra",TRUE,FALSE,FALSE,0.21,0.234,0.139,6
"11","Alouatta_sara",TRUE,FALSE,FALSE,0.325,0.319,0.209,19
"12","Alouatta_seniculus",TRUE,TRUE,FALSE,0.459,0.405,0.274,1
"13","Aotus_azarae",TRUE,FALSE,FALSE,0.156,0.089,0.165,9
"14","Aotus_hershkovitzi",TRUE,FALSE,FALSE,0.062,0.043,0.062,15
"15","Aotus_lemurinus",TRUE,FALSE,FALSE,0.292,0.335,0.197,5
"16","Aotus_miconax",TRUE,FALSE,FALSE,0.035,0.001,0.06,15
"17","Aotus_nancymaae",TRUE,FALSE,FALSE,0.129,0.117,0.073,12
"18","Aotus_nigriceps",TRUE,FALSE,FALSE,0.291,0.278,0.213,12
"19","Aotus_trivirgatus",TRUE,FALSE,FALSE,0.222,0.07,0.313,1
"20","Aotus_vociferans",TRUE,FALSE,FALSE,0.219,0.199,0.22,12
"21","Arctocebus_aureus",FALSE,FALSE,FALSE,0.266,0.183,0.218,20
"22","Arctocebus_calabarensis",FALSE,FALSE,FALSE,0.132,0.136,0.077,5
"23","Ateles_belzebuth",TRUE,FALSE,FALSE,0.32,0.289,0.236,7
"24","Ateles_chamek",TRUE,FALSE,FALSE,0.246,0.234,0.118,12
"25","Ateles_fusciceps",TRUE,FALSE,FALSE,0.138,0.137,0.093,5
"26","Ateles_geoffroyi",TRUE,FALSE,FALSE,0.21,0.186,0.087,1
"27","Ateles_hybridus",TRUE,FALSE,FALSE,0.115,0.085,0.101,21
"28","Ateles_marginatus",TRUE,FALSE,FALSE,0.184,0.115,0.158,14
"29","Ateles_paniscus",TRUE,FALSE,FALSE,0.455,0.472,0.29,1
"30","Avahi_laniger",FALSE,FALSE,FALSE,0.16,0.156,0.096,5
"31","Avahi_occidentalis",FALSE,FALSE,FALSE,0.161,0.073,0.227,10
"32","Avahi_unicolor",FALSE,FALSE,FALSE,0.09,0.074,0.077,21
"33","Brachyteles_arachnoides",TRUE,FALSE,FALSE,0.075,0.105,0.059,3
"34","Brachyteles_hypoxanthus",TRUE,FALSE,FALSE,0.169,0.135,0.194,20
"35","Bunopithecus_hoolock",FALSE,FALSE,FALSE,0.167,0.126,0.155,6
"36","Cacajao_calvus",TRUE,FALSE,FALSE,0.204,0.165,0.2,4
"37","Cacajao_melanocephalus",TRUE,FALSE,FALSE,0.28,0.221,0.286,12
"38","Callicebus_baptista",TRUE,FALSE,FALSE,0.131,0.12,0.106,21
"39","Callicebus_barbarabrownae",TRUE,FALSE,FALSE,0.247,0.21,0.185,21
"41","Callicebus_brunneus",TRUE,FALSE,FALSE,0.141,0.163,0.09,13
"42","Callicebus_caligatus",TRUE,FALSE,FALSE,0.202,0.153,0.191,30
"43","Callicebus_cinerascens",TRUE,FALSE,FALSE,0.058,0.032,0.093,15
"44","Callicebus_coimbrai",TRUE,FALSE,FALSE,0.119,0.112,0.118,21
"45","Callicebus_cupreus",TRUE,FALSE,FALSE,0.184,0.166,0.15,8
"47","Callicebus_donacophilus",TRUE,FALSE,FALSE,0.124,0.111,0.082,15
"48","Callicebus_dubius",TRUE,FALSE,FALSE,0.53,0.515,0.38,30
"49","Callicebus_hoffmannsi",TRUE,FALSE,FALSE,0.194,0.13,0.148,15
"52","Callicebus_medemi",TRUE,FALSE,FALSE,0.2,0.145,0.211,21
"53","Callicebus_melanochir",TRUE,FALSE,FALSE,0.073,0.054,0.08,21
"54","Callicebus_modestus",TRUE,FALSE,FALSE,0.073,0.055,0.098,15
"55","Callicebus_moloch",TRUE,FALSE,FALSE,0.256,0.285,0.172,1
"56","Callicebus_nigrifrons",TRUE,FALSE,FALSE,0.28,0.216,0.234,21
"57","Callicebus_oenanthe",TRUE,FALSE,FALSE,0.148,0.107,0.141,15
"58","Callicebus_olallae",TRUE,FALSE,FALSE,0.063,0.059,0.045,15
"59","Callicebus_ornatus",TRUE,FALSE,FALSE,0.119,0.091,0.114,21
"60","Callicebus_pallescens",TRUE,FALSE,FALSE,0.185,0.144,0.138,21
"61","Callicebus_personatus",TRUE,FALSE,FALSE,0.161,0.163,0.137,9
"65","Callicebus_torquatus",TRUE,FALSE,FALSE,0.463,0.381,0.385,22
"66","Callimico_goeldii",TRUE,FALSE,FALSE,0.279,0.306,0.238,1
"67","Callithrix_acariensis",TRUE,FALSE,FALSE,0.184,0.098,0.303,21
"68","Callithrix_argentata",TRUE,FALSE,FALSE,0.175,0.186,0.124,6
"69","Callithrix_aurita",TRUE,FALSE,FALSE,0.137,0.126,0.099,10
"70","Callithrix_chrysoleuca",TRUE,FALSE,FALSE,0.153,0.162,0.143,20
"71","Callithrix_emiliae",TRUE,FALSE,FALSE,0.107,0.105,0.1,20
"72","Callithrix_flaviceps",TRUE,FALSE,FALSE,0.105,0.123,0.067,9
"73","Callithrix_geoffroyi",TRUE,FALSE,FALSE,0.104,0.071,0.12,17
"74","Callithrix_humeralifera",TRUE,FALSE,FALSE,0.161,0.145,0.124,8
"75","Callithrix_humilis",TRUE,FALSE,FALSE,0.176,0.081,0.283,21
"76","Callithrix_intermedia",TRUE,FALSE,FALSE,0.247,0.267,0.136,16
"77","Callithrix_jacchus",TRUE,FALSE,FALSE,0.372,0.389,0.16,3
"78","Callithrix_kuhlii",TRUE,FALSE,FALSE,0.158,0.099,0.169,13
"79","Callithrix_leucippe",TRUE,FALSE,FALSE,0.191,0.182,0.133,20
"80","Callithrix_manicorensis",TRUE,FALSE,FALSE,0.139,0.077,0.163,21
"81","Callithrix_marcai",TRUE,FALSE,FALSE,0.171,0.1,0.16,21
"82","Callithrix_mauesi",TRUE,FALSE,FALSE,0.08,0.064,0.069,16
"83","Callithrix_melanura",TRUE,FALSE,FALSE,0.196,0.165,0.177,21
"84","Callithrix_nigriceps",TRUE,FALSE,FALSE,0.067,0.048,0.074,14
"85","Callithrix_penicillata",TRUE,FALSE,FALSE,0.37,0.344,0.216,14
"86","Callithrix_pygmaea",TRUE,FALSE,FALSE,0.107,0.109,0.073,1
"87","Callithrix_saterei",TRUE,FALSE,FALSE,0.32,0.19,0.325,20
"88","Cebus_albifrons",TRUE,FALSE,FALSE,0.678,0.567,0.302,1
"89","Cebus_apella",TRUE,TRUE,FALSE,0.923,0.986,0.108,1
"90","Cebus_capucinus",TRUE,FALSE,FALSE,0.482,0.469,0.186,1
"91","Cebus_kaapori",TRUE,FALSE,FALSE,0.219,0.206,0.18,19
"92","Cebus_libidinosus",TRUE,FALSE,FALSE,0.231,0.134,0.258,21
"93","Cebus_nigritus",TRUE,FALSE,FALSE,0.349,0.263,0.248,11
"94","Cebus_olivaceus",TRUE,FALSE,FALSE,0.45,0.392,0.251,3
"95","Cebus_xanthosternos",TRUE,FALSE,FALSE,0.197,0.147,0.157,20
"96","Cercocebus_agilis",FALSE,FALSE,FALSE,0.3,0.277,0.105,19
"97","Cercocebus_atys",FALSE,TRUE,FALSE,0.339,0.388,0.166,10
"98","Cercocebus_chrysogaster",FALSE,FALSE,FALSE,0.185,0.221,0.138,21
"99","Cercocebus_galeritus",FALSE,FALSE,FALSE,0.2,0.189,0.068,5
"100","Cercocebus_sanjei",FALSE,FALSE,FALSE,0.085,0.031,0.097,21
"101","Cercocebus_torquatus",FALSE,FALSE,FALSE,0.324,0.269,0.236,6
"102","Cercopithecus_albogularis",FALSE,FALSE,FALSE,0.654,0.829,0.413,15
"103","Cercopithecus_ascanius",FALSE,FALSE,FALSE,0.411,0.345,0.278,2
"104","Cercopithecus_campbelli",FALSE,FALSE,FALSE,0.129,0.11,0.091,9
"105","Cercopithecus_cephus",FALSE,FALSE,FALSE,0.211,0.189,0.134,2
"106","Cercopithecus_denti",FALSE,FALSE,FALSE,0.26,0.204,0.161,19
"107","Cercopithecus_diana",FALSE,FALSE,FALSE,0.183,0.178,0.117,3
"108","Cercopithecus_doggetti",FALSE,FALSE,FALSE,0.127,0.087,0.13,21
"109","Cercopithecus_dryas",FALSE,FALSE,FALSE,0.099,0.081,0.106,18
"110","Cercopithecus_erythrogaster",FALSE,FALSE,FALSE,0.101,0.106,0.051,13
"111","Cercopithecus_erythrotis",FALSE,FALSE,FALSE,0.111,0.126,0.074,13
"112","Cercopithecus_hamlyni",FALSE,FALSE,FALSE,0.19,0.139,0.178,21
"113","Cercopithecus_kandti",FALSE,FALSE,FALSE,0.14,0.106,0.106,21
"114","Cercopithecus_lhoesti",FALSE,FALSE,FALSE,0.269,0.205,0.157,10
"115","Cercopithecus_lowei",FALSE,FALSE,FALSE,0.126,0.123,0.097,21
"116","Cercopithecus_mitis",FALSE,FALSE,FALSE,0.736,0.741,0.255,3
"117","Cercopithecus_mona",FALSE,FALSE,FALSE,0.332,0.334,0.16,15
"118","Cercopithecus_neglectus",FALSE,FALSE,FALSE,0.413,0.448,0.212,1
"119","Cercopithecus_nictitans",FALSE,FALSE,FALSE,0.658,0.677,0.27,4
"120","Cercopithecus_petaurista",FALSE,FALSE,FALSE,0.256,0.21,0.233,14
"121","Cercopithecus_pogonias",FALSE,FALSE,FALSE,0.319,0.284,0.149,3
"122","Cercopithecus_preussi",FALSE,FALSE,FALSE,0.164,0.139,0.134,14
"123","Cercopithecus_roloway",FALSE,FALSE,FALSE,0.09,0.05,0.109,21
"124","Cercopithecus_sclateri",FALSE,FALSE,FALSE,0.192,0.167,0.189,18
"125","Cercopithecus_solatus",FALSE,FALSE,FALSE,0.115,0.08,0.104,14
"126","Cercopithecus_wolfi",FALSE,FALSE,FALSE,0.367,0.393,0.263,16
