"","Species","NewWorld","Detected","ZikaDetected","mean.score","median.score","sd.score","NA.nums"
"1","Allenopithecus_nigroviridis",FALSE,FALSE,FALSE,0.297,0.265,0.175,13
"2","Allocebus_trichotis",FALSE,FALSE,FALSE,0.075,0.077,0.052,11
"3","Alouatta_belzebul",TRUE,FALSE,FALSE,0.208,0.199,0.1,14
"4","Alouatta_caraya",TRUE,TRUE,FALSE,0.326,0.317,0.12,5
"5","Alouatta_coibensis",TRUE,FALSE,FALSE,0.061,0.051,0.051,21
"6","Alouatta_guariba",TRUE,FALSE,FALSE,0.129,0.11,0.08,11
"7","Alouatta_macconnelli",TRUE,FALSE,FALSE,0.166,0.119,0.102,21
"8","Alouatta_nigerrima",TRUE,FALSE,FALSE,0.082,0.085,0.055,21
"9","Alouatta_palliata",TRUE,FALSE,FALSE,0.259,0.242,0.117,1
"10","Alouatta_pigra",TRUE,FALSE,FALSE,0.103,0.09,0.057,6
"11","Alouatta_sara",TRUE,FALSE,FALSE,0.185,0.163,0.132,19
"12","Alouatta_seniculus",TRUE,TRUE,FALSE,0.355,0.333,0.11,1
"13","Aotus_azarae",TRUE,FALSE,FALSE,0.068,0.077,0.045,9
"14","Aotus_hershkovitzi",TRUE,FALSE,FALSE,0.031,0.031,0.021,15
"15","Aotus_lemurinus",TRUE,FALSE,FALSE,0.154,0.148,0.087,5
"16","Aotus_miconax",TRUE,FALSE,FALSE,0.048,0.056,0.03,15
"17","Aotus_nancymaae",TRUE,FALSE,FALSE,0.047,0.051,0.033,12
"18","Aotus_nigriceps",TRUE,FALSE,FALSE,0.12,0.125,0.102,12
"19","Aotus_trivirgatus",TRUE,FALSE,FALSE,0.168,0.137,0.099,1
"20","Aotus_vociferans",TRUE,FALSE,FALSE,0.099,0.086,0.071,12
"21","Arctocebus_aureus",FALSE,FALSE,FALSE,0.081,0.082,0.056,20
"22","Arctocebus_calabarensis",FALSE,FALSE,FALSE,0.064,0.074,0.038,5
"23","Ateles_belzebuth",TRUE,FALSE,FALSE,0.16,0.161,0.068,7
"24","Ateles_chamek",TRUE,FALSE,FALSE,0.115,0.095,0.086,12
"25","Ateles_fusciceps",TRUE,FALSE,FALSE,0.107,0.109,0.05,5
"26","Ateles_geoffroyi",TRUE,FALSE,FALSE,0.202,0.172,0.173,1
"27","Ateles_hybridus",TRUE,FALSE,FALSE,0.112,0.082,0.096,21
"28","Ateles_marginatus",TRUE,FALSE,FALSE,0.09,0.094,0.059,14
"29","Ateles_paniscus",TRUE,FALSE,FALSE,0.232,0.228,0.064,1
"30","Avahi_laniger",FALSE,FALSE,FALSE,0.08,0.08,0.054,5
"31","Avahi_occidentalis",FALSE,FALSE,FALSE,0.068,0.05,0.065,10
"32","Avahi_unicolor",FALSE,FALSE,FALSE,0.04,0.045,0.028,21
"33","Brachyteles_arachnoides",TRUE,FALSE,FALSE,0.052,0.062,0.032,3
"34","Brachyteles_hypoxanthus",TRUE,FALSE,FALSE,0.072,0.079,0.052,20
"35","Bunopithecus_hoolock",FALSE,FALSE,FALSE,0.07,0.084,0.043,6
"36","Cacajao_calvus",TRUE,FALSE,FALSE,0.104,0.109,0.058,4
"37","Cacajao_melanocephalus",TRUE,FALSE,FALSE,0.139,0.152,0.071,12
"38","Callicebus_baptista",TRUE,FALSE,FALSE,0.062,0.044,0.047,21
"39","Callicebus_barbarabrownae",TRUE,FALSE,FALSE,0.206,0.144,0.153,21
"41","Callicebus_brunneus",TRUE,FALSE,FALSE,0.071,0.077,0.047,13
"42","Callicebus_caligatus",TRUE,FALSE,FALSE,0.106,0.088,0.084,30
"43","Callicebus_cinerascens",TRUE,FALSE,FALSE,0.072,0.073,0.057,15
"44","Callicebus_coimbrai",TRUE,FALSE,FALSE,0.08,0.086,0.053,21
"45","Callicebus_cupreus",TRUE,FALSE,FALSE,0.086,0.108,0.054,8
"47","Callicebus_donacophilus",TRUE,FALSE,FALSE,0.062,0.072,0.038,15
"48","Callicebus_dubius",TRUE,FALSE,FALSE,0.121,0.048,0.134,30
"49","Callicebus_hoffmannsi",TRUE,FALSE,FALSE,0.075,0.068,0.059,15
"52","Callicebus_medemi",TRUE,FALSE,FALSE,0.074,0.078,0.052,21
"53","Callicebus_melanochir",TRUE,FALSE,FALSE,0.08,0.067,0.07,21
"54","Callicebus_modestus",TRUE,FALSE,FALSE,0.069,0.063,0.05,15
"55","Callicebus_moloch",TRUE,FALSE,FALSE,0.143,0.167,0.076,1
"56","Callicebus_nigrifrons",TRUE,FALSE,FALSE,0.13,0.124,0.087,21
"57","Callicebus_oenanthe",TRUE,FALSE,FALSE,0.046,0.046,0.032,15
"58","Callicebus_olallae",TRUE,FALSE,FALSE,0.037,0.043,0.023,15
"59","Callicebus_ornatus",TRUE,FALSE,FALSE,0.078,0.055,0.062,21
"60","Callicebus_pallescens",TRUE,FALSE,FALSE,0.093,0.096,0.051,21
"61","Callicebus_personatus",TRUE,FALSE,FALSE,0.1,0.116,0.069,9
"65","Callicebus_torquatus",TRUE,FALSE,FALSE,0.235,0.057,0.374,22
"66","Callimico_goeldii",TRUE,FALSE,FALSE,0.142,0.169,0.087,1
"67","Callithrix_acariensis",TRUE,FALSE,FALSE,0.094,0.064,0.078,21
"68","Callithrix_argentata",TRUE,FALSE,FALSE,0.111,0.124,0.056,6
"69","Callithrix_aurita",TRUE,FALSE,FALSE,0.08,0.085,0.054,10
"70","Callithrix_chrysoleuca",TRUE,FALSE,FALSE,0.082,0.091,0.052,20
"71","Callithrix_emiliae",TRUE,FALSE,FALSE,0.076,0.065,0.062,20
"72","Callithrix_flaviceps",TRUE,FALSE,FALSE,0.06,0.064,0.038,9
"73","Callithrix_geoffroyi",TRUE,FALSE,FALSE,0.09,0.09,0.061,17
"74","Callithrix_humeralifera",TRUE,FALSE,FALSE,0.102,0.102,0.074,8
"75","Callithrix_humilis",TRUE,FALSE,FALSE,0.136,0.126,0.093,21
"76","Callithrix_intermedia",TRUE,FALSE,FALSE,0.103,0.101,0.072,16
"77","Callithrix_jacchus",TRUE,FALSE,FALSE,0.212,0.219,0.075,3
"78","Callithrix_kuhlii",TRUE,FALSE,FALSE,0.096,0.114,0.06,13
"79","Callithrix_leucippe",TRUE,FALSE,FALSE,0.081,0.08,0.055,20
"80","Callithrix_manicorensis",TRUE,FALSE,FALSE,0.054,0.058,0.038,21
"81","Callithrix_marcai",TRUE,FALSE,FALSE,0.076,0.066,0.062,21
"82","Callithrix_mauesi",TRUE,FALSE,FALSE,0.06,0.052,0.056,16
"83","Callithrix_melanura",TRUE,FALSE,FALSE,0.091,0.085,0.048,21
"84","Callithrix_nigriceps",TRUE,FALSE,FALSE,0.072,0.072,0.048,14
"85","Callithrix_penicillata",TRUE,FALSE,FALSE,0.189,0.217,0.097,14
"86","Callithrix_pygmaea",TRUE,FALSE,FALSE,0.056,0.068,0.033,1
"87","Callithrix_saterei",TRUE,FALSE,FALSE,0.124,0.124,0.092,20
"88","Cebus_albifrons",TRUE,FALSE,FALSE,0.407,0.405,0.138,1
"89","Cebus_apella",TRUE,TRUE,FALSE,0.615,0.662,0.204,1
"90","Cebus_capucinus",TRUE,FALSE,FALSE,0.269,0.256,0.096,1
"91","Cebus_kaapori",TRUE,FALSE,FALSE,0.154,0.138,0.096,19
"92","Cebus_libidinosus",TRUE,FALSE,FALSE,0.111,0.097,0.093,21
"93","Cebus_nigritus",TRUE,FALSE,FALSE,0.17,0.182,0.066,11
"94","Cebus_olivaceus",TRUE,FALSE,FALSE,0.261,0.236,0.145,3
"95","Cebus_xanthosternos",TRUE,FALSE,FALSE,0.097,0.074,0.093,20
"96","Cercocebus_agilis",FALSE,FALSE,FALSE,0.201,0.152,0.168,19
"97","Cercocebus_atys",FALSE,TRUE,FALSE,0.27,0.284,0.074,10
"98","Cercocebus_chrysogaster",FALSE,FALSE,FALSE,0.108,0.117,0.065,21
"99","Cercocebus_galeritus",FALSE,FALSE,FALSE,0.139,0.089,0.128,5
"100","Cercocebus_sanjei",FALSE,FALSE,FALSE,0.056,0.048,0.044,21
"101","Cercocebus_torquatus",FALSE,FALSE,FALSE,0.231,0.216,0.087,6
"102","Cercopithecus_albogularis",FALSE,FALSE,FALSE,0.545,0.538,0.293,15
"103","Cercopithecus_ascanius",FALSE,FALSE,FALSE,0.233,0.183,0.184,2
"104","Cercopithecus_campbelli",FALSE,FALSE,FALSE,0.089,0.077,0.053,9
"105","Cercopithecus_cephus",FALSE,FALSE,FALSE,0.113,0.111,0.043,2
"106","Cercopithecus_denti",FALSE,FALSE,FALSE,0.164,0.146,0.102,19
"107","Cercopithecus_diana",FALSE,FALSE,FALSE,0.114,0.115,0.05,3
"108","Cercopithecus_doggetti",FALSE,FALSE,FALSE,0.06,0.054,0.038,21
"109","Cercopithecus_dryas",FALSE,FALSE,FALSE,0.082,0.077,0.069,18
"110","Cercopithecus_erythrogaster",FALSE,FALSE,FALSE,0.092,0.08,0.062,13
"111","Cercopithecus_erythrotis",FALSE,FALSE,FALSE,0.061,0.056,0.04,13
"112","Cercopithecus_hamlyni",FALSE,FALSE,FALSE,0.121,0.123,0.089,21
"113","Cercopithecus_kandti",FALSE,FALSE,FALSE,0.085,0.055,0.097,21
"114","Cercopithecus_lhoesti",FALSE,FALSE,FALSE,0.138,0.141,0.062,10
"115","Cercopithecus_lowei",FALSE,FALSE,FALSE,0.076,0.07,0.053,21
"116","Cercopithecus_mitis",FALSE,FALSE,FALSE,0.453,0.424,0.17,3
"117","Cercopithecus_mona",FALSE,FALSE,FALSE,0.172,0.169,0.071,15
"118","Cercopithecus_neglectus",FALSE,FALSE,FALSE,0.222,0.229,0.067,1
"119","Cercopithecus_nictitans",FALSE,FALSE,FALSE,0.221,0.203,0.078,4
"120","Cercopithecus_petaurista",FALSE,FALSE,FALSE,0.141,0.143,0.045,14
"121","Cercopithecus_pogonias",FALSE,FALSE,FALSE,0.183,0.177,0.057,3
"122","Cercopithecus_preussi",FALSE,FALSE,FALSE,0.082,0.069,0.063,14
"123","Cercopithecus_roloway",FALSE,FALSE,FALSE,0.067,0.057,0.048,21
"124","Cercopithecus_sclateri",FALSE,FALSE,FALSE,0.082,0.08,0.055,18
"125","Cercopithecus_solatus",FALSE,FALSE,FALSE,0.051,0.046,0.036,14
"126","Cercopithecus_wolfi",FALSE,FALSE,FALSE,0.177,0.156,0.087,16
"127","Cheirogaleus_adipicaudatus",FALSE,FALSE,FALSE,0.089,0.08,0.054,21
"128","Cheirogaleus_crossleyi",FALSE,FALSE,FALSE,0.093,0.062,0.116,21
"129","Cheirogaleus_major",FALSE,FALSE,FALSE,0.1,0.098,0.073,3
"130","Cheirogaleus_medius",FALSE,FALSE,FALSE,0.064,0.071,0.042,0
"131","Cheirogaleus_minusculus",FALSE,FALSE,FALSE,0.054,0.052,0.04,21
"132","Cheirogaleus_ravus",FALSE,FALSE,FALSE,0.034,0.027,0.026,21
"133","Cheirogaleus_sibreei",FALSE,FALSE,FALSE,0.037,0.031,0.027,21
"134","Chiropotes_albinasus",TRUE,FALSE,FALSE,0.228,0.241,0.109,7
"137","Chiropotes_satanas",TRUE,FALSE,FALSE,0.16,0.13,0.159,22
"139","Chlorocebus_aethiops",FALSE,TRUE,TRUE,0.258,0.233,0.116,16
"140","Chlorocebus_cynosuros",FALSE,FALSE,FALSE,0.104,0.086,0.082,21
"141","Chlorocebus_djamdjamensis",FALSE,FALSE,FALSE,0.089,0.103,0.068,21
"142","Chlorocebus_pygerythrus",FALSE,FALSE,FALSE,0.3,0.302,0.172,21
"143","Chlorocebus_sabaeus",FALSE,FALSE,FALSE,0.155,0.131,0.118,21
"144","Chlorocebus_tantalus",FALSE,FALSE,FALSE,0.248,0.199,0.14,21
"145","Colobus_angolensis",FALSE,FALSE,FALSE,0.255,0.22,0.16,13
"146","Colobus_guereza",FALSE,FALSE,FALSE,0.338,0.324,0.115,1
"147","Colobus_polykomos",FALSE,FALSE,FALSE,0.128,0.123,0.054,3
"148","Colobus_satanas",FALSE,FALSE,FALSE,0.139,0.137,0.069,8
"149","Colobus_vellerosus",FALSE,FALSE,FALSE,0.232,0.233,0.079,15
"150","Daubentonia_madagascariensis",FALSE,FALSE,FALSE,0.09,0.092,0.059,1
"151","Erythrocebus_patas",FALSE,TRUE,TRUE,0.576,0.605,0.204,2
"152","Eulemur_albifrons",FALSE,FALSE,FALSE,0.07,0.063,0.055,21
"153","Eulemur_albocollaris",FALSE,FALSE,FALSE,0.05,0.05,0.038,20
"154","Eulemur_cinereiceps",FALSE,FALSE,FALSE,0.029,0.026,0.023,21
"155","Eulemur_collaris",FALSE,FALSE,FALSE,0.056,0.065,0.034,21
"156","Eulemur_coronatus",FALSE,FALSE,FALSE,0.1,0.084,0.081,6
"157","Eulemur_fulvus",FALSE,FALSE,FALSE,0.102,0.105,0.068,0
"158","Eulemur_macaco",FALSE,FALSE,FALSE,0.148,0.149,0.094,2
"159","Eulemur_mongoz",FALSE,FALSE,FALSE,0.118,0.118,0.109,2
"160","Eulemur_rubriventer",FALSE,FALSE,FALSE,0.123,0.105,0.092,5
"161","Eulemur_rufus",FALSE,FALSE,FALSE,0.139,0.101,0.141,17
"162","Eulemur_sanfordi",FALSE,FALSE,FALSE,0.068,0.059,0.048,18
"163","Euoticus_elegantulus",FALSE,FALSE,FALSE,0.132,0.137,0.084,11
"164","Euoticus_pallidus",FALSE,FALSE,FALSE,0.063,0.07,0.032,20
"165","Galago_alleni",FALSE,FALSE,FALSE,0.03,0.028,0.023,7
"166","Galago_cameronensis",FALSE,FALSE,FALSE,0.07,0.056,0.062,21
"167","Galago_demidoff",FALSE,FALSE,FALSE,0.087,0.113,0.05,4
"168","Galago_gabonensis",FALSE,FALSE,FALSE,0.104,0.082,0.069,21
"169","Galago_gallarum",FALSE,FALSE,FALSE,0.179,0.191,0.084,20
"170","Galago_granti",FALSE,FALSE,FALSE,0.099,0.091,0.072,21
"171","Galago_matschiei",FALSE,FALSE,FALSE,0.074,0.05,0.076,17
"172","Galago_moholi",FALSE,FALSE,FALSE,0.196,0.176,0.135,6
"173","Galago_nyasae",FALSE,FALSE,FALSE,0.049,0.052,0.033,21
"174","Galago_orinus",FALSE,FALSE,FALSE,0.078,0.079,0.055,21
"175","Galago_rondoensis",FALSE,FALSE,FALSE,0.073,0.061,0.068,21
"176","Galago_senegalensis",FALSE,FALSE,FALSE,0.202,0.202,0.116,4
"177","Galago_thomasi",FALSE,FALSE,FALSE,0.093,0.079,0.087,19
"178","Galago_zanzibaricus",FALSE,FALSE,FALSE,0.241,0.26,0.148,7
"179","Gorilla_beringei",FALSE,FALSE,FALSE,0.131,0.138,0.059,20
"180","Gorilla_gorilla",FALSE,FALSE,FALSE,0.103,0.092,0.06,1
"181","Hapalemur_alaotrensis",FALSE,FALSE,FALSE,0.042,0.038,0.032,20
"182","Hapalemur_aureus",FALSE,FALSE,FALSE,0.1,0.088,0.078,6
"183","Hapalemur_griseus",FALSE,FALSE,FALSE,0.071,0.071,0.05,0
"184","Hapalemur_occidentalis",FALSE,FALSE,FALSE,0.065,0.061,0.051,21
"186","Hylobates_agilis",FALSE,FALSE,FALSE,0.199,0.227,0.1,10
"187","Hylobates_albibarbis",FALSE,FALSE,FALSE,0.149,0.1,0.179,21
"188","Hylobates_klossii",FALSE,FALSE,FALSE,0.065,0.071,0.044,10
"189","Hylobates_lar",FALSE,FALSE,FALSE,0.214,0.2,0.104,3
"190","Hylobates_moloch",FALSE,FALSE,FALSE,0.116,0.101,0.091,9
"191","Hylobates_muelleri",FALSE,FALSE,FALSE,0.112,0.127,0.061,8
"192","Hylobates_pileatus",FALSE,FALSE,FALSE,0.133,0.118,0.069,4
"193","Indri_indri",FALSE,FALSE,FALSE,0.071,0.076,0.044,4
"194","Lagothrix_cana",TRUE,FALSE,FALSE,0.136,0.13,0.09,21
"195","Lagothrix_lagotricha",TRUE,FALSE,FALSE,0.117,0.123,0.036,1
"196","Lagothrix_lugens",TRUE,FALSE,FALSE,0.133,0.104,0.116,21
"197","Lagothrix_poeppigii",TRUE,FALSE,FALSE,0.104,0.114,0.068,21
"198","Lemur_catta",FALSE,TRUE,FALSE,0.198,0.215,0.068,1
"199","Leontopithecus_caissara",TRUE,FALSE,FALSE,0.061,0.065,0.045,16
"200","Leontopithecus_chrysomelas",TRUE,FALSE,FALSE,0.071,0.078,0.049,13
"201","Leontopithecus_chrysopygus",TRUE,FALSE,FALSE,0.089,0.094,0.053,12
"202","Leontopithecus_rosalia",TRUE,FALSE,FALSE,0.08,0.087,0.052,1
"203","Lepilemur_ankaranensis",FALSE,FALSE,FALSE,0.098,0.056,0.122,21
"204","Lepilemur_dorsalis",FALSE,FALSE,FALSE,0.051,0.048,0.041,12
"205","Lepilemur_edwardsi",FALSE,FALSE,FALSE,0.057,0.052,0.047,10
"206","Lepilemur_leucopus",FALSE,FALSE,FALSE,0.039,0.041,0.027,5
"207","Lepilemur_microdon",FALSE,FALSE,FALSE,0.065,0.07,0.042,11
"208","Lepilemur_mustelinus",FALSE,FALSE,FALSE,0.077,0.068,0.07,4
"209","Lepilemur_ruficaudatus",FALSE,FALSE,FALSE,0.055,0.046,0.045,9
"210","Lepilemur_septentrionalis",FALSE,FALSE,FALSE,0.087,0.049,0.1,21
"211","Lophocebus_albigena",FALSE,FALSE,FALSE,0.223,0.217,0.058,0
"212","Lophocebus_aterrimus",FALSE,FALSE,FALSE,0.13,0.106,0.084,13
"213","Lophocebus_opdenboschi",FALSE,FALSE,FALSE,0.068,0.06,0.052,21
"214","Loris_lydekkerianus",FALSE,FALSE,FALSE,0.221,0.228,0.139,20
